class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-04-04, 450450,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-04-11, 117992,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-04-11, 121415,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-04-11, 528840,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-04-18, 164107,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-04-18, 171082,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-04-18, 607230,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-04-25, 216158,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-04-25, 226598,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-04-25, 685620,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-05-02, 273749,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-05-02, 284732,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-05-02, 685620,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-05-09, 338813,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-05-09, 366328,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-05-09, 746460,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-05-16, 414824,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-05-16, 451000,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-05-16, 807300,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-05-23, 493606,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-05-23, 535073,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-05-23, 868140,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-05-30, 581932,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-05-30, 637023,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-05-30, 928980,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-06-06, 680290,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-06-06, 750705,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-06-06,1055790,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-06-13, 793013,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-06-13, 853433,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-06-13,1103760,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-06-20, 909422,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-06-20, 981654,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-06-20,1252900,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-06-27,1033848,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-06-27,1114684,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-06-27,1302040,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-07-04,1161952,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-07-04,1237012,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-07-04,1351180,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-07-11,1289999,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-07-11,1366436,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-07-11,1502110,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-07-18,1425371,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-07-18,1502424,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-07-18,1682290,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-07-25,1633071,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-07-25,1691605,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-07-25,2032290,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-08-01,1887555,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-08-01,1946186,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-08-01,2411370,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-08-08,2164231,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-08-08,2211232,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-08-08,2769390,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-08-15,2451622,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-08-15,2511256,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-08-15,3157830,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-08-22,2754616,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-08-22,2795343,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-08-22,3602430,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations planned,2021-08-29,3056599,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccinations administered,2021-08-29,3347427,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccination plan - Progress,undefined_name,Cumulative vaccine stock received,2021-08-29,3985020,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-02-28,    584,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-03-07,    905,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-03-14,   1048,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-03-21,   1252,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-03-28,   1479,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-04-04,   1792,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-04-11,   2072,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-04-18,   2505,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-04-25,   2895,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-05-02,   3389,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-05-09,   4448,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-05-16,   5166,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-05-23,   6110,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-05-30,   6511,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-06-06,   7141,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-06-13,   7678,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-06-20,   8107,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-06-27,   8453,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-07-04,   8622,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-07-11,   8984,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-07-18,   9389,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-07-25,   9785,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-08-01,  10214,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-08-08,  10663,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-08-15,  11005,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-08-22,  11523,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-08-29,  12461,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-09-05,  13105,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-09-12,  13557,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-09-19,  13776,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Trained vaccinator,2021-09-26,  14094,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-02-28,    135,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-03-07,    249,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-03-14,    322,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-03-21,    418,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-03-28,    584,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-04-04,    747,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-04-11,    922,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-04-18,   1153,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-04-25,   1376,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-05-02,   1561,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-05-09,   1782,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-05-16,   1992,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-05-23,   2217,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-05-30,   2456,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-06-06,   2716,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-06-13,   2935,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-06-20,   3214,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-06-27,   3426,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-07-04,   3641,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-07-11,   3832,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-07-18,   3984,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-07-25,   4265,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-08-01,   4704,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-08-08,   5192,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-08-15,   5646,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-08-22,   6005,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-08-29,   6622,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-09-05,   7221,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-09-12,   7667,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-09-19,   8076,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Workforce,undefined_name,Active vaccinator,2021-09-26,   8437,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-19,     29,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-20,     65,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-21,     68,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-22,    448,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-23,    358,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-24,    815,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-25,   1100,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-26,   1609,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-27,   1342,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-02-28,    882,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-01,   1408,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-02,   1491,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-03,   1984,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-04,   1633,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-05,   1278,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-06,    602,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-07,    512,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-08,   1072,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-09,   1425,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-10,   1315,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-11,   1334,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-12,   1043,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-13,    750,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-14,    576,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-15,   1614,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-16,   1929,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-17,   1642,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-18,   1595,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-19,   1693,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-20,    558,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-21,    942,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-22,   1034,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-23,   1587,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-24,   1971,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-25,   1823,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-26,   3370,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-27,   1155,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-28,    685,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-29,   3808,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-30,   4169,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-03-31,   5447,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-01,   5201,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-02,   1724,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-03,   1413,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-04,    758,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-05,    923,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-06,   3521,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-07,   5119,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-08,   6464,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-09,   5420,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-10,   3269,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-11,   2478,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-12,   6045,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-13,   6811,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-14,   6623,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-15,   6891,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-16,   6861,Number,30-09-21
Health,COVID-19 vaccinations,COVID-19 vaccines administered – Daily total,undefined_name,First dose administered,2021-04-17,   3904,Number,30-09-21
